district,crop,pattam,soil_type,irrigation_type,land_area_acres,temperature,humidity,rainfall_mm,soil_ph,soil_n,soil_p,soil_k,soil_ec,soil_organic_carbon,yield_per_acre,total_production_kg
Ramanathapuram,Banana,Samba / Thaladi (Main Rice Season),Clay Soil,Rainfed,12.64,26.4,66.3,1539.0,7.16,243.5,53.1,264.2,1.17,1.0,28157.62,355912.32
Tirupathur,Tapioca (Cassava),Chithirai Pattam (Summer),Laterite Soil,Sprinkler,18.94,35.0,59.0,1113.5,6.01,47.5,53.5,92.4,1.56,0.52,15970.24,302476.35
Chennai,Okra (Bhendi),Kar (Early Monsoon),Sandy Loam,Rainfed,22.94,32.6,55.4,680.9,6.88,83.2,32.8,69.9,0.28,0.95,7152.7,164082.94
Tiruvarur,Sunflower,Navarai / Sornavari (Summer Rice & Pulses),Red Loam,Drip Irrigation,3.57,26.7,73.3,590.0,7.22,58.8,114.0,24.5,0.95,1.0,883.61,3154.49
Chengalpattu,Pearl Millet,Navarai / Sornavari (Summer Rice & Pulses),Red Loam,Rainfed,7.53,35.2,78.5,739.9,8.09,71.3,33.6,51.4,1.16,0.66,650.0,4894.5
Tirupathur,Coconut,Aadi Pattam (Monsoon Sowing),Clay Soil,Sprinkler,3.62,23.4,67.7,1724.4,6.29,481.3,387.4,1211.7,1.61,0.65,9758.38,35325.34
Kallakurichi,Snake Gourd,Aadi Pattam (Monsoon Sowing),Laterite Soil,Drip Irrigation,15.05,30.2,73.1,545.2,6.07,55.3,29.6,24.7,1.68,0.52,8084.31,121668.87
Nagapattinam,Papaya,Chithirai Pattam (Summer),Clay Loam,Drip Irrigation,23.11,26.4,81.7,1294.0,6.45,173.6,145.9,203.2,1.21,0.39,34313.06,792974.82
Salem,Kodo Millet,Aadi Pattam (Monsoon Sowing),Clay Soil,Canal Irrigation,3.16,24.2,68.4,585.4,7.35,42.2,16.4,5.0,1.34,0.91,908.75,2871.65
Krishnagiri,Red Gram,Thai Pattam (Winter / Post-Monsoon),Alluvial,Well / Tube Well,6.84,23.0,88.1,676.0,7.52,27.4,61.8,47.7,1.74,0.6,1039.62,7111.0
Ariyalur,Carrot,Chithirai Pattam (Summer),Clay Loam,Rainfed,7.01,14.9,56.9,604.8,6.49,48.3,28.1,73.7,1.67,0.95,9828.68,68899.05
Salem,Cowpea,Samba / Thaladi (Main Rice Season),Alluvial,Sprinkler,20.13,29.4,66.6,660.8,5.9,24.2,63.0,5.0,0.46,0.78,394.12,7933.64
Kanniyakumari,Green Peas,Kar (Early Monsoon),Laterite Soil,Rainfed,10.72,10.0,74.5,527.4,6.61,64.7,52.6,35.5,0.86,0.87,3656.53,39198.0
Tirupathur,Papaya,Kar (Early Monsoon),Clay Loam,Drip Irrigation,6.61,25.4,54.8,1227.0,6.84,184.8,285.1,239.0,1.15,0.94,46001.97,304073.02
Thoothukudi,Green Gram,Kar (Early Monsoon),Sandy Loam,Drip Irrigation,11.89,31.3,57.5,470.3,6.07,28.5,65.0,5.0,1.45,0.65,449.48,5344.32
Chennai,Paddy,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Canal Irrigation,15.33,26.7,64.1,1266.2,7.1,108.5,34.5,38.3,0.23,0.38,2691.41,41259.32
Coimbatore,Green Peas,Thai Pattam (Winter / Post-Monsoon),Alluvial,Sprinkler,10.46,17.8,73.3,480.2,6.39,37.1,48.2,28.8,1.58,0.83,3031.08,31705.1
Kancheepuram,Cotton,Thai Pattam (Winter / Post-Monsoon),Clay Soil,Canal Irrigation,21.13,27.5,80.5,708.3,7.84,169.2,67.2,45.0,1.33,0.59,1571.81,33212.35
Coimbatore,Bitter Gourd,Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Canal Irrigation,16.21,31.0,68.7,631.4,6.58,56.4,26.2,80.7,0.4,0.81,6753.5,109474.24
Kancheepuram,Beetroot,Navarai / Sornavari (Summer Rice & Pulses),Red Loam,Sprinkler,11.35,22.1,59.8,824.4,7.29,48.1,64.8,105.0,0.78,1.0,7516.58,85313.18
Nagapattinam,Carrot,Samba / Thaladi (Main Rice Season),Black Cotton Soil,Drip Irrigation,23.92,21.2,85.0,580.5,7.17,46.9,49.9,77.6,1.29,0.65,9074.62,217064.91
Perambalur,Maize,Purattasi Pattam (Autumn),Black Cotton Soil,Rainfed,21.7,22.3,43.4,743.3,6.44,148.3,86.1,46.4,1.47,0.87,3337.76,72429.39
Tiruvallur,Red Gram,Thai Pattam (Winter / Post-Monsoon),Black Cotton Soil,Drip Irrigation,11.69,27.2,72.5,838.4,7.62,21.6,37.3,34.2,0.6,0.95,871.25,10184.91
Dindigul,Brinjal,Aadi Pattam (Monsoon Sowing),Black Cotton Soil,Well / Tube Well,23.39,27.6,82.9,813.1,7.1,83.0,35.7,72.7,0.57,0.61,12257.47,286702.22
Mayiladuthurai,Green Peas,Chithirai Pattam (Summer),Sandy Loam,Canal Irrigation,10.87,14.4,87.7,602.4,6.66,40.3,46.9,53.2,0.36,0.48,4226.6,45943.14
Tirupathur,Castor,Purattasi Pattam (Autumn),Red Loam,Rainfed,13.7,26.4,62.8,591.7,7.16,43.3,19.7,59.2,0.51,0.96,726.45,9952.36
Coimbatore,Green Gram,Aadi Pattam (Monsoon Sowing),Black Cotton Soil,Drip Irrigation,1.6,27.4,80.1,501.0,6.61,19.2,52.0,19.7,1.67,0.65,487.09,779.34
Kanniyakumari,Foxtail Millet,Kar (Early Monsoon),Sandy Loam,Drip Irrigation,2.85,29.8,47.3,280.6,7.71,41.0,20.9,10.5,0.25,0.88,624.74,1780.51
Sivaganga,Tapioca (Cassava),Purattasi Pattam (Autumn),Clay Soil,Well / Tube Well,20.2,28.1,61.2,765.7,6.12,47.9,47.5,83.9,1.73,0.55,10108.42,204190.08
Coimbatore,Snake Gourd,Purattasi Pattam (Autumn),Sandy Loam,Canal Irrigation,22.44,28.0,44.5,452.5,6.54,61.7,48.8,33.6,1.51,0.86,8191.28,183812.32
The Nilgiris,Banana,Purattasi Pattam (Autumn),Clay Loam,Well / Tube Well,15.05,19.7,73.1,1593.2,7.65,202.7,34.8,278.0,0.45,0.96,19289.91,290313.15
Dharmapuri,Amla (Indian Gooseberry),Aadi Pattam (Monsoon Sowing),Laterite Soil,Canal Irrigation,13.01,27.1,82.4,884.5,7.67,209.2,120.1,157.3,1.5,1.06,10536.42,137078.82
Tiruvannamalai,Guava,Chithirai Pattam (Summer),Clay Loam,Canal Irrigation,20.65,18.4,89.6,679.7,7.26,179.6,175.6,269.3,1.37,1.01,10841.82,223883.58
Sivaganga,Maize,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Drip Irrigation,15.48,24.6,58.2,755.1,6.88,203.4,26.1,51.5,0.61,0.92,3663.21,56706.49
Tirupathur,Finger Millet,Chithirai Pattam (Summer),Laterite Soil,Sprinkler,21.53,20.7,80.5,636.4,5.93,37.7,38.5,41.1,0.7,0.72,1650.54,35536.13
The Nilgiris,Little Millet,Thai Pattam (Winter / Post-Monsoon),Black Cotton Soil,Canal Irrigation,23.99,27.2,71.5,573.4,6.79,33.1,10.4,45.5,1.21,0.45,722.7,17337.57
Theni,Sunflower,Aadi Pattam (Monsoon Sowing),Red Loam,Sprinkler,3.45,26.7,64.0,706.5,7.21,86.3,83.4,51.2,0.86,0.98,671.49,2316.64
Tiruvarur,Finger Millet,Navarai / Sornavari (Summer Rice & Pulses),Laterite Soil,Sprinkler,6.32,29.4,69.8,614.8,6.11,53.3,29.1,29.0,0.41,1.01,1581.0,9991.92
Tirunelveli,Paddy,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Drip Irrigation,1.52,34.3,83.3,1278.1,6.88,134.8,68.2,17.3,0.45,0.59,3672.99,5582.94
Thanjavur,Cauliflower,Samba / Thaladi (Main Rice Season),Laterite Soil,Sprinkler,15.09,15.6,76.2,613.8,6.0,168.9,85.3,116.3,0.94,0.41,13434.96,202733.55
Mayiladuthurai,Bengal Gram,Navarai / Sornavari (Summer Rice & Pulses),Sandy Soil,Well / Tube Well,22.87,27.4,67.0,339.5,7.01,16.4,29.1,26.1,1.01,0.91,586.96,13423.78
Chennai,Radish,Chithirai Pattam (Summer),Red Loam,Well / Tube Well,22.95,24.9,74.1,384.6,6.8,49.3,17.2,43.8,1.42,0.66,8723.7,200208.92
Coimbatore,Kodo Millet,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Rainfed,4.15,29.4,76.3,548.0,6.16,37.8,22.6,23.3,1.53,0.74,872.37,3620.34
Dindigul,Cauliflower,Samba / Thaladi (Main Rice Season),Black Cotton Soil,Well / Tube Well,7.39,18.8,78.1,415.4,6.45,83.6,93.7,93.3,1.76,0.64,8236.06,60864.48
Thanjavur,Little Millet,Aadi Pattam (Monsoon Sowing),Clay Loam,Sprinkler,24.19,27.4,77.7,339.2,6.71,37.6,13.8,8.9,0.96,0.75,489.16,11832.78
Dharmapuri,Coconut,Samba / Thaladi (Main Rice Season),Laterite Soil,Sprinkler,23.31,30.6,67.4,1548.3,6.49,705.0,338.6,1213.4,0.27,0.61,10306.89,240253.61
Virudhunagar,Sorghum,Thai Pattam (Winter / Post-Monsoon),Laterite Soil,Sprinkler,19.09,26.7,77.3,485.9,7.6,80.3,35.3,18.6,1.06,0.47,1278.46,24405.8
Krishnagiri,Onion,Samba / Thaladi (Main Rice Season),Red Loam,Well / Tube Well,12.24,24.0,69.5,801.8,6.98,48.3,60.6,63.5,0.45,0.72,6084.63,74475.87
Ariyalur,Grapes,Navarai / Sornavari (Summer Rice & Pulses),Clay Loam,Drip Irrigation,11.46,24.9,73.8,665.1,7.53,86.7,191.8,257.2,1.21,0.69,13745.84,157527.33
Theni,Coconut,Purattasi Pattam (Autumn),Red Loam,Sprinkler,13.14,36.2,70.2,1744.9,6.46,653.4,349.0,1183.1,1.36,0.88,6500.3,85413.94
Tiruvarur,Maize,Aadi Pattam (Monsoon Sowing),Red Loam,Sprinkler,15.29,22.6,63.0,635.7,6.81,123.4,61.5,60.2,1.72,0.74,3203.26,48977.85
Virudhunagar,Beetroot,Navarai / Sornavari (Summer Rice & Pulses),Laterite Soil,Well / Tube Well,16.22,22.5,58.6,554.1,7.04,57.3,75.4,128.8,0.75,0.56,13239.92,214751.5
Mayiladuthurai,Cauliflower,Thai Pattam (Winter / Post-Monsoon),Clay Soil,Well / Tube Well,6.88,20.7,51.9,748.1,6.76,183.6,76.3,119.1,0.97,0.77,15321.53,105412.13
Thanjavur,Black Pepper,Samba / Thaladi (Main Rice Season),Sandy Soil,Sprinkler,9.63,25.5,81.9,2131.4,4.84,133.1,45.5,124.5,1.59,0.6,987.97,9514.15
Dindigul,Chilli,Chithirai Pattam (Summer),Sandy Soil,Drip Irrigation,9.18,22.8,70.9,763.8,6.86,94.8,52.6,63.2,0.27,0.85,6102.66,56022.42
Tenkasi,Papaya,Kar (Early Monsoon),Sandy Soil,Canal Irrigation,24.92,29.0,80.0,1326.3,7.2,185.1,246.0,244.7,0.6,0.91,30737.02,765966.54
Coimbatore,Brinjal,Navarai / Sornavari (Summer Rice & Pulses),Clay Soil,Canal Irrigation,14.92,26.0,46.6,785.3,7.03,102.2,62.5,45.2,0.43,0.89,17285.98,257906.82
Sivaganga,Foxtail Millet,Samba / Thaladi (Main Rice Season),Laterite Soil,Sprinkler,8.62,27.8,94.0,607.7,6.6,50.4,16.5,15.3,1.47,0.53,649.87,5601.88
Tirupathur,Onion,Thai Pattam (Winter / Post-Monsoon),Black Cotton Soil,Well / Tube Well,17.09,25.9,86.6,496.0,7.12,69.9,55.6,80.7,0.36,0.72,6351.49,108546.96
Tirupathur,Cauliflower,Chithirai Pattam (Summer),Sandy Loam,Sprinkler,3.14,20.0,45.4,669.2,6.68,172.2,53.7,95.3,0.65,0.71,12708.24,39903.87
Ariyalur,Black Gram,Kar (Early Monsoon),Clay Loam,Canal Irrigation,6.93,29.8,81.5,667.1,7.33,31.4,23.6,19.2,0.29,1.07,529.46,3669.16
Pudukkottai,Grapes,Purattasi Pattam (Autumn),Laterite Soil,Well / Tube Well,16.63,18.9,60.0,584.5,7.02,199.0,155.0,304.4,1.79,0.57,17924.3,298081.11
Tiruvallur,Sorghum,Navarai / Sornavari (Summer Rice & Pulses),Red Loam,Rainfed,14.86,27.6,67.6,438.0,7.24,65.7,57.2,63.1,1.08,0.51,1851.65,27515.52
Tiruppur,Amla (Indian Gooseberry),Thai Pattam (Winter / Post-Monsoon),Clay Soil,Canal Irrigation,13.25,27.8,69.9,991.1,7.93,169.6,138.3,237.8,0.97,0.58,10738.31,142282.61
The Nilgiris,Kodo Millet,Aadi Pattam (Monsoon Sowing),Red Loam,Canal Irrigation,20.06,28.8,98.0,500.9,6.67,31.7,16.7,49.5,1.44,0.54,937.23,18800.83
Coimbatore,Horse Gram,Chithirai Pattam (Summer),Red Loam,Rainfed,2.45,28.6,45.7,313.1,6.06,20.1,54.0,52.8,0.56,0.47,516.51,1265.45
Nagapattinam,Cotton,Chithirai Pattam (Summer),Clay Soil,Drip Irrigation,3.11,33.4,50.4,707.2,7.51,74.8,71.9,80.1,1.79,0.77,1294.68,4026.45
Theni,Pumpkin,Purattasi Pattam (Autumn),Alluvial,Sprinkler,18.99,28.5,78.5,666.3,6.19,69.0,33.5,69.4,0.44,0.81,13109.43,248948.08
Madurai,Snake Gourd,Purattasi Pattam (Autumn),Clay Loam,Rainfed,15.34,26.7,49.1,796.3,6.99,81.6,43.5,35.1,0.8,0.46,9934.45,152394.46
Tiruchirappalli,Black Gram,Kar (Early Monsoon),Laterite Soil,Sprinkler,1.86,28.4,61.0,865.0,7.74,20.4,70.0,75.3,0.47,0.54,378.8,704.57
Nagapattinam,Foxtail Millet,Purattasi Pattam (Autumn),Red Loam,Drip Irrigation,9.86,30.0,55.1,310.2,6.88,54.6,17.3,85.2,0.95,0.99,1113.61,10980.19
Krishnagiri,Kodo Millet,Purattasi Pattam (Autumn),Clay Loam,Drip Irrigation,13.21,29.8,66.8,527.8,5.73,33.8,21.0,27.6,1.38,0.97,988.98,13064.43
Tiruvannamalai,Kodo Millet,Kar (Early Monsoon),Sandy Loam,Rainfed,22.12,31.6,56.5,471.2,7.35,26.4,17.0,8.8,0.22,0.4,689.67,15255.5
Thoothukudi,Ginger,Chithirai Pattam (Summer),Clay Loam,Canal Irrigation,5.83,29.6,70.8,1579.2,6.34,108.8,27.8,68.6,0.4,0.75,10810.57,63025.62
Perambalur,Castor,Thai Pattam (Winter / Post-Monsoon),Red Loam,Rainfed,14.14,27.7,76.9,539.1,7.01,69.3,31.0,30.7,1.48,0.66,890.56,12592.52
Kallakurichi,Sugarcane,Thai Pattam (Winter / Post-Monsoon),Sandy Soil,Rainfed,8.41,30.9,68.2,1596.2,7.26,265.7,55.1,125.5,1.08,0.96,52279.99,439674.72
Pudukkottai,Amla (Indian Gooseberry),Purattasi Pattam (Autumn),Alluvial,Canal Irrigation,0.86,30.6,63.4,763.3,8.45,194.9,173.4,182.5,0.46,1.08,10206.1,8777.25
Vellore,Snake Gourd,Aadi Pattam (Monsoon Sowing),Alluvial,Rainfed,13.83,27.0,65.2,393.5,7.16,46.4,18.9,77.5,0.83,0.89,3900.0,53937.0
Tirunelveli,Groundnut,Aadi Pattam (Monsoon Sowing),Clay Soil,Well / Tube Well,7.85,27.9,74.3,719.6,7.09,30.6,28.2,39.6,0.27,1.06,1294.97,10165.51
Erode,Cashew,Samba / Thaladi (Main Rice Season),Red Loam,Canal Irrigation,9.82,26.3,52.8,1319.3,5.57,182.5,76.6,73.7,0.81,0.79,1211.04,11892.41
Namakkal,Little Millet,Kar (Early Monsoon),Clay Loam,Rainfed,19.17,24.7,41.8,377.2,7.37,49.4,17.5,7.5,1.27,0.66,755.44,14481.78
Dharmapuri,Turmeric,Chithirai Pattam (Summer),Alluvial,Sprinkler,23.3,27.4,37.4,1146.9,6.51,73.1,62.6,154.5,1.46,1.01,8655.86,201681.54
Erode,Carrot,Kar (Early Monsoon),Clay Loam,Rainfed,20.2,15.1,77.3,861.6,6.3,78.6,35.0,69.7,1.19,0.9,8004.26,161686.05
Thanjavur,Amla (Indian Gooseberry),Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Drip Irrigation,18.29,23.1,70.2,964.8,7.39,222.4,155.5,192.4,0.85,0.76,10925.24,199822.64
Mayiladuthurai,Guava,Purattasi Pattam (Autumn),Clay Loam,Well / Tube Well,5.9,21.5,51.8,1162.4,8.01,197.2,179.6,261.6,0.33,0.42,8155.68,48118.51
Cuddalore,Mango,Samba / Thaladi (Main Rice Season),Clay Loam,Well / Tube Well,23.62,32.6,59.9,906.6,5.88,418.9,133.8,350.5,1.8,0.77,6363.42,150303.98
Ramanathapuram,Kodo Millet,Chithirai Pattam (Summer),Laterite Soil,Well / Tube Well,17.59,21.3,52.9,531.0,6.27,17.2,28.3,5.0,0.57,0.59,520.84,9161.58
Tiruchirappalli,Little Millet,Kar (Early Monsoon),Red Loam,Drip Irrigation,8.14,21.2,89.0,349.7,6.63,32.8,19.8,16.0,0.26,0.62,685.12,5576.88
Viluppuram,Paddy,Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Well / Tube Well,20.26,31.6,70.6,1160.3,6.61,110.2,40.8,36.9,1.64,0.69,3027.44,61335.93
Tiruvallur,Castor,Thai Pattam (Winter / Post-Monsoon),Black Cotton Soil,Well / Tube Well,1.03,31.7,64.9,363.5,6.41,54.0,26.5,85.0,0.37,0.96,746.37,768.76
Thanjavur,Coconut,Purattasi Pattam (Autumn),Laterite Soil,Sprinkler,3.57,32.1,68.1,1628.2,6.88,415.3,321.6,1226.3,1.42,0.69,8360.53,29847.09
Tirupathur,Bitter Gourd,Samba / Thaladi (Main Rice Season),Alluvial,Well / Tube Well,11.65,26.0,53.9,866.4,6.57,49.4,30.6,58.5,0.63,0.52,4572.95,53274.87
Tiruchirappalli,Amla (Indian Gooseberry),Purattasi Pattam (Autumn),Alluvial,Rainfed,15.87,29.9,74.0,479.4,7.43,106.1,220.7,215.0,1.18,1.08,6078.33,96463.1
Ariyalur,Cardamom,Samba / Thaladi (Main Rice Season),Black Cotton Soil,Canal Irrigation,15.41,23.4,58.4,2679.7,5.42,62.3,65.6,118.6,1.33,0.64,317.39,4890.98
Pudukkottai,French Beans,Chithirai Pattam (Summer),Sandy Loam,Sprinkler,24.11,23.6,62.0,689.8,5.69,44.9,43.4,53.2,0.31,0.98,4769.48,114992.16
Nagapattinam,Maize,Aadi Pattam (Monsoon Sowing),Sandy Soil,Sprinkler,9.09,34.8,78.8,517.6,6.43,107.7,46.7,63.5,1.7,0.88,2546.99,23152.14
Chennai,Cauliflower,Purattasi Pattam (Autumn),Clay Soil,Sprinkler,6.42,16.4,59.1,597.2,6.13,58.9,102.2,126.7,1.3,0.38,11138.75,71510.77
Tiruvarur,Maize,Samba / Thaladi (Main Rice Season),Sandy Soil,Drip Irrigation,7.74,27.8,68.3,817.6,7.35,233.9,106.1,30.3,1.46,0.47,3030.28,23454.37
The Nilgiris,Horse Gram,Chithirai Pattam (Summer),Sandy Soil,Drip Irrigation,1.02,25.4,87.0,415.4,6.78,14.0,33.9,28.9,0.65,0.57,401.87,409.91
The Nilgiris,Okra (Bhendi),Thai Pattam (Winter / Post-Monsoon),Alluvial,Rainfed,9.77,29.0,48.2,507.4,6.32,88.2,44.0,42.4,1.22,0.79,7067.67,69051.14
Virudhunagar,Okra (Bhendi),Purattasi Pattam (Autumn),Alluvial,Rainfed,2.2,32.1,68.8,674.5,6.81,77.0,18.3,68.4,0.22,0.84,6056.34,13323.95
Dindigul,Ginger,Chithirai Pattam (Summer),Red Loam,Sprinkler,20.05,20.7,60.9,1771.3,6.1,94.2,52.8,83.4,0.21,0.4,10749.65,215530.48
Nagapattinam,Chilli,Navarai / Sornavari (Summer Rice & Pulses),Clay Soil,Drip Irrigation,14.57,32.4,83.8,656.7,5.73,87.0,64.5,50.0,0.7,0.5,4272.89,62256.01
Chennai,Bengal Gram,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Well / Tube Well,23.32,21.6,54.6,282.1,7.6,16.7,53.4,15.2,0.32,0.43,612.99,14294.93
Thoothukudi,Watermelon,Kar (Early Monsoon),Red Loam,Well / Tube Well,7.31,32.5,44.2,402.9,7.28,45.3,36.0,56.2,0.24,1.04,16856.38,123220.14
Pudukkottai,Sunflower,Purattasi Pattam (Autumn),Clay Loam,Drip Irrigation,8.69,30.9,66.5,600.7,7.71,69.0,73.4,31.3,1.15,0.69,835.91,7264.06
Nagapattinam,Horse Gram,Aadi Pattam (Monsoon Sowing),Alluvial,Rainfed,18.4,26.8,69.1,250.5,6.44,10.0,25.9,5.0,1.78,1.04,210.95,3881.48
Karur,Tapioca (Cassava),Aadi Pattam (Monsoon Sowing),Clay Loam,Sprinkler,19.52,33.8,52.1,873.1,6.18,36.7,36.6,113.5,0.24,0.51,13059.22,254915.97
Tenkasi,Horse Gram,Aadi Pattam (Monsoon Sowing),Red Loam,Well / Tube Well,8.12,21.8,94.5,149.5,7.01,17.7,40.9,17.8,1.31,0.79,294.74,2393.29
Thanjavur,Red Gram,Navarai / Sornavari (Summer Rice & Pulses),Sandy Soil,Drip Irrigation,5.75,24.5,73.5,659.8,7.9,29.6,65.4,17.2,0.82,0.43,891.99,5128.94
Tirupathur,Cucumber,Navarai / Sornavari (Summer Rice & Pulses),Clay Soil,Canal Irrigation,3.04,20.7,72.5,533.7,6.46,40.3,39.3,45.8,0.93,1.07,9919.84,30156.31
Ramanathapuram,Drumstick (Moringa),Kar (Early Monsoon),Sandy Soil,Canal Irrigation,7.19,26.7,82.4,515.0,6.98,64.3,43.8,74.7,0.99,0.89,13788.86,99141.9
Vellore,Bengal Gram,Kar (Early Monsoon),Laterite Soil,Rainfed,9.71,20.9,73.6,519.9,7.1,15.6,35.5,5.0,0.73,0.85,404.71,3929.73
Kancheepuram,Cashew,Kar (Early Monsoon),Clay Soil,Sprinkler,14.06,34.3,58.8,1396.2,6.61,153.5,76.0,130.7,1.26,0.55,838.73,11792.54
Kanniyakumari,Barnyard Millet,Purattasi Pattam (Autumn),Black Cotton Soil,Well / Tube Well,22.42,26.5,71.6,499.8,5.97,16.0,17.2,57.1,0.97,0.81,914.96,20513.4
Chennai,Cardamom,Thai Pattam (Winter / Post-Monsoon),Red Loam,Drip Irrigation,9.41,20.6,47.7,2672.1,5.32,81.7,60.2,140.9,1.23,0.71,386.36,3635.65
Ranipet,Horse Gram,Thai Pattam (Winter / Post-Monsoon),Sandy Loam,Well / Tube Well,22.08,27.3,72.6,525.6,6.07,17.6,40.2,63.5,0.39,0.45,410.31,9059.64
The Nilgiris,Maize,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Drip Irrigation,18.88,20.4,58.9,702.9,6.17,150.7,80.8,45.7,0.83,0.65,3874.09,73142.82
Virudhunagar,Grapes,Samba / Thaladi (Main Rice Season),Clay Soil,Well / Tube Well,2.99,27.4,59.2,745.0,6.5,150.8,179.7,316.7,0.67,1.08,16428.44,49121.04
Ranipet,Pumpkin,Purattasi Pattam (Autumn),Clay Soil,Well / Tube Well,21.25,35.5,80.0,520.8,7.43,61.6,40.4,31.3,0.57,0.89,11145.55,236842.94
Kallakurichi,Gingelly (Sesame),Thai Pattam (Winter / Post-Monsoon),Clay Loam,Rainfed,24.65,35.3,45.9,306.0,7.06,40.1,34.3,5.0,0.84,0.91,295.18,7276.19
Tenkasi,Black Gram,Purattasi Pattam (Autumn),Sandy Loam,Rainfed,20.93,34.6,65.7,564.5,7.51,21.3,60.6,5.0,1.24,0.6,432.11,9044.06
Krishnagiri,French Beans,Thai Pattam (Winter / Post-Monsoon),Red Loam,Well / Tube Well,1.67,19.5,69.0,342.4,5.37,53.5,78.5,48.3,0.33,1.07,2885.69,4819.1
Erode,Grapes,Navarai / Sornavari (Summer Rice & Pulses),Red Loam,Well / Tube Well,20.54,25.7,90.0,614.8,7.18,238.6,190.2,316.7,0.88,0.66,22210.43,456202.23
Virudhunagar,Amla (Indian Gooseberry),Thai Pattam (Winter / Post-Monsoon),Black Cotton Soil,Rainfed,6.82,29.1,60.2,749.2,7.63,163.4,175.4,177.2,0.6,0.93,8859.77,60423.63
Tiruvallur,French Beans,Chithirai Pattam (Summer),Sandy Loam,Well / Tube Well,21.46,22.5,57.2,668.0,6.46,48.9,21.1,25.4,0.2,0.85,4754.96,102041.44
Tiruvallur,Cauliflower,Aadi Pattam (Monsoon Sowing),Black Cotton Soil,Rainfed,21.42,23.7,77.4,713.1,6.15,140.2,130.9,135.6,1.27,0.63,14771.49,316405.32
Coimbatore,Carrot,Kar (Early Monsoon),Sandy Soil,Sprinkler,3.63,16.3,81.5,790.9,6.79,50.8,45.5,107.3,1.28,0.51,11345.58,41184.46
Namakkal,Pearl Millet,Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Rainfed,3.56,29.4,82.8,275.9,6.93,88.1,38.7,112.4,1.28,1.06,1179.69,4199.7
Kanniyakumari,Tomato,Navarai / Sornavari (Summer Rice & Pulses),Sandy Soil,Drip Irrigation,24.25,18.5,63.4,941.1,6.41,124.8,104.9,104.6,1.36,0.4,16012.77,388309.67
Kallakurichi,Foxtail Millet,Chithirai Pattam (Summer),Sandy Loam,Canal Irrigation,1.01,27.2,39.9,437.2,6.1,56.7,21.6,16.9,0.54,0.41,1136.67,1148.04
The Nilgiris,Muskmelon,Kar (Early Monsoon),Alluvial,Well / Tube Well,12.28,30.8,98.0,568.2,7.6,38.9,26.3,13.2,0.3,0.82,5047.25,61980.23
Nagapattinam,Watermelon,Kar (Early Monsoon),Red Loam,Canal Irrigation,5.14,30.3,92.7,430.9,6.16,59.3,19.4,68.3,0.62,0.44,18014.52,92594.63
Thoothukudi,Green Peas,Samba / Thaladi (Main Rice Season),Black Cotton Soil,Sprinkler,12.92,19.9,51.2,490.1,5.8,30.2,63.6,60.5,0.71,0.82,2482.19,32069.89
Cuddalore,Radish,Thai Pattam (Winter / Post-Monsoon),Clay Soil,Sprinkler,7.21,25.7,32.9,338.7,6.88,66.1,33.1,7.5,1.54,0.46,7097.29,51171.46
Viluppuram,Papaya,Navarai / Sornavari (Summer Rice & Pulses),Clay Loam,Rainfed,18.49,30.5,69.3,1324.7,6.18,145.5,155.2,273.9,1.25,1.08,31059.59,574291.82
Tiruvarur,Foxtail Millet,Aadi Pattam (Monsoon Sowing),Sandy Soil,Sprinkler,22.83,33.5,87.3,487.5,7.12,47.6,19.4,105.2,0.48,1.02,1088.26,24844.98
Tirunelveli,Groundnut,Samba / Thaladi (Main Rice Season),Alluvial,Rainfed,21.22,21.1,56.2,657.2,7.21,29.5,47.6,52.8,1.11,0.98,873.84,18542.88
Krishnagiri,Green Gram,Purattasi Pattam (Autumn),Sandy Loam,Rainfed,10.65,27.3,74.7,619.5,8.17,22.2,46.2,21.1,0.61,0.58,333.98,3556.89
Perambalur,Okra (Bhendi),Kar (Early Monsoon),Black Cotton Soil,Sprinkler,19.29,32.6,91.7,616.8,7.01,70.3,32.6,66.0,1.37,0.68,6162.08,118866.52
Erode,Little Millet,Chithirai Pattam (Summer),Alluvial,Canal Irrigation,5.91,27.5,67.3,378.2,6.21,53.6,23.6,25.6,0.88,0.37,1061.49,6273.41
Tiruvannamalai,Watermelon,Chithirai Pattam (Summer),Laterite Soil,Rainfed,12.74,31.3,56.5,474.3,5.89,48.0,38.7,41.6,0.34,0.6,10575.47,134731.49
Sivaganga,Snake Gourd,Samba / Thaladi (Main Rice Season),Red Loam,Sprinkler,17.62,28.2,61.3,874.8,6.56,55.7,44.4,66.6,0.47,0.71,7115.46,125374.41
